Hotel Name,Price (SAR),Rating,Reviews,Address,City,Check-in,Check-out,Search Area,Season_Type,Religious_Context,Latitude,Longitude,Stay_Duration,Price_Category
أبراج الساعة مكة المكرمه,371.0,4.7,61134.0,"Lat: 21.4191164, Lng: 39.8255149",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4191164,39.8255149,5,Mid-Range
فندق جراند زمزم,371.0,4.5,41.0,"Lat: 21.4187536, Lng: 39.824337899999996",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4187536,39.8243379,5,Mid-Range
الصفوة رويال أوركيد,1743.0,4.2,7979.0,"Lat: 21.4196875, Lng: 39.82656250000001",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4196875,39.82656250000001,5,Luxury
فندق برج الجوار,371.0,3.5,702.0,"Lat: 21.419297999999998, Lng: 39.8280641",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.419298,39.8280641,5,Mid-Range
Adress,371.0,3.8,25.0,"Lat: 21.4216489, Lng: 39.8188332",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4216489,39.8188332,5,Mid-Range
فندق ميره اجياد مكة,371.0,4.1,1255.0,"Lat: 21.4206202, Lng: 39.830363999999996",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4206202,39.830364,5,Mid-Range
مآثر الإيمان أجياد,371.0,3.7,917.0,"Lat: 21.4175564, Lng: 39.8292837",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4175564,39.8292837,5,Mid-Range
فندق إيلاف أجياد,371.0,3.3,2668.0,"Lat: 21.4179614, Lng: 39.8288399",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4179614,39.8288399,5,Mid-Range
شيراتون مكة جبل الكعبة,371.0,4.2,7906.0,"Lat: 21.425969, Lng: 39.819486",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.425969,39.819486,5,Mid-Range
فندق أنجم مكة,371.0,4.6,29424.0,"Lat: 21.4248063, Lng: 39.8197542",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4248063,39.8197542,5,Mid-Range
فندق الصفوة البرج الثالث Al Safwah Hotel Third Tower 3,371.0,4.1,710.0,"Lat: 21.4195909, Lng: 39.8266077",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand,21.4195909,39.8266077,5,Mid-Range
فندق نور منازل الكرام أجياد السد,320.0,2.9,140.0,"Lat: 21.421980899999998, Lng: 39.8337667",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4219809,39.8337667,5,Mid-Range
فندق أجياد الجوار | Ajyad Aljiwar Hotel,371.0,3.7,590.0,"Lat: 21.4205571, Lng: 39.8302943",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4205571,39.8302943,5,Mid-Range
فندق مرقد أجياد,926.0,3.6,303.0,"Lat: 21.414354, Lng: 39.8281543",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.414354,39.8281543,5,Premium
فندق الماسة جراند,1088.0,4.7,8981.0,"Lat: 21.4144556, Lng: 39.8274933",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4144556,39.8274933,5,Premium
فندق أمجاد اجياد,371.0,3.8,1055.0,"Lat: 21.4159218, Lng: 39.8298359",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4159218,39.8298359,5,Mid-Range
فندق نور الثريا,371.0,4.3,862.0,"Lat: 21.417244, Lng: 39.829748099999996",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.417244,39.8297481,5,Mid-Range
فندق فجر النسك اجياد,371.0,3.9,1134.0,"Lat: 21.4210752, Lng: 39.8323554",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4210752,39.8323554,5,Mid-Range
فندق الرحاب,371.0,3.8,1181.0,"Lat: 21.413779299999998, Lng: 39.8275522",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4137793,39.8275522,5,Mid-Range
الزيادي اجياد,371.0,3.8,296.0,"Lat: 21.413645199999998, Lng: 39.8277059",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4136452,39.8277059,5,Mid-Range
بيست ويسترن أجياد مكة | Best Western Ajyad Makkah,371.0,3.8,546.0,"Lat: 21.418094800000002, Lng: 39.8345549",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4180948,39.8345549,5,Mid-Range
Rayanat Ajyad Hotel,371.0,4.5,17.0,"Lat: 21.414977, Lng: 39.8302123",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.414977,39.8302123,5,Mid-Range
مكارم أجياد مكة,371.0,4.7,29838.0,"Lat: 21.417142600000002, Lng: 39.828104",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4171426,39.828104,5,Mid-Range
فندق انوار الضيافة,371.0,3.7,946.0,"Lat: 21.4205306, Lng: 39.830311699999996",Makkah,2026-02-15,2026-02-20,Hotels in Ajyad Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4205306,39.8303117,5,Mid-Range
فندق لؤلؤة المسك,94.0,3.4,56.0,"Lat: 21.4182739, Lng: 39.8646622",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4182739,39.8646622,5,Budget
Emaar Forum,121.0,3.9,21.0,"Lat: 21.417064999999997, Lng: 39.86545",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.417065,39.86545,5,Budget
فندق نجمة اسراء,99.0,3.9,157.0,"Lat: 21.4129222, Lng: 39.8671059",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4129222,39.8671059,5,Budget
فندق وسيم العزيزية,137.0,3.8,164.0,"Lat: 21.405595700000003, Lng: 39.861436399999995",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.405595700000003,39.8614364,5,Budget
فندق مونتانا العزيزية,160.0,3.5,1172.0,"Lat: 21.4165273, Lng: 39.8599336",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4165273,39.8599336,5,Budget
فندق ميدان,203.0,4.1,6457.0,"Lat: 21.4170786, Lng: 39.8546088",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4170786,39.8546088,5,Budget
فندق اليقين,109.0,4.1,993.0,"Lat: 21.4160492, Lng: 39.8622464",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4160492,39.8622464,5,Budget
فندق إيلاف بكة,240.0,4.1,11384.0,"Lat: 21.422549699999998, Lng: 39.849276499999995",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4225497,39.8492765,5,Budget
فندق سويتس المقام - Suites Almaqam Hotel,324.0,4.2,1605.0,"Lat: 21.4198247, Lng: 39.8649596",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4198247,39.8649596,5,Mid-Range
جوري الهدا,204.0,4.5,151.0,"Lat: 21.4114026, Lng: 39.8589744",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4114026,39.8589744,5,Budget
فندق سنود المروة | Snood Al-Marwa Hotel,132.0,4.0,278.0,"Lat: 21.421134199999997, Lng: 39.8586552",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4211342,39.8586552,5,Budget
فندق سيف بلص 2 من اورفانا,231.0,4.7,710.0,"Lat: 21.423092399999998, Lng: 39.850193499999996",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4230924,39.8501935,5,Budget
فندق الهندباء - hindibaa hotel,138.0,3.9,238.0,"Lat: 21.408107899999997, Lng: 39.861044299999996",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4081079,39.8610443,5,Budget
فندق كنان العزيزية,173.0,4.0,610.0,"Lat: 21.4198187, Lng: 39.858604",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4198187,39.858604,5,Budget
فندق العرب مشاعر,75.0,3.6,560.0,"Lat: 21.4106159, Lng: 39.867564099999996",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4106159,39.8675641,5,Budget
فندق ذوق الخيال,306.0,3.9,339.0,"Lat: 21.4125479, Lng: 39.86540300000001",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4125479,39.86540300000001,5,Mid-Range
فندق جواهر الهدى,259.0,4.2,108.0,"Lat: 21.421820699999998, Lng: 39.8576409",Makkah,2026-02-15,2026-02-20,Hotels in Aziziyah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4218207,39.8576409,5,Budget
فندق قصر رزق,233.0,4.7,2352.0,"Lat: 21.404034799999998, Lng: 39.8172478",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4040348,39.8172478,5,Budget
Makarem Um Al Qura Hotel,285.0,4.3,11123.0,"Lat: 21.4023114, Lng: 39.8307328",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4023114,39.8307328,5,Budget
WEDAM AL MISFALAH HOTEL 6,371.0,4.1,83.0,"Lat: 21.4043936, Lng: 39.8177251",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4043936,39.8177251,5,Mid-Range
Emaar Elite Hotel,371.0,4.2,1088.0,"Lat: 21.4093584, Lng: 39.8293463",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4093584,39.8293463,5,Mid-Range
فوكو مكه,499.0,4.4,20243.0,"Lat: 21.407812, Lng: 39.818487",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.407812,39.818487,5,Mid-Range
فندق الماسة بدر,371.0,4.5,5047.0,"Lat: 21.4131952, Lng: 39.8215761",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4131952,39.8215761,5,Mid-Range
لؤلؤة التوحيد,371.0,3.6,1726.0,"Lat: 21.4109415, Lng: 39.8194078",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4109415,39.8194078,5,Mid-Range
فندق سيف المجد,542.0,4.0,1974.0,"Lat: 21.4124269, Lng: 39.8246069",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4124269,39.8246069,5,Mid-Range
فندق الاصاله البكيه - AlAsala AlBakia Hotel,1226.0,3.3,96.0,"Lat: 21.4028849, Lng: 39.8194215",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4028849,39.8194215,5,Premium
فندق عبير الفضيله,371.0,3.9,567.0,"Lat: 21.405003699999998, Lng: 39.8172299",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4050037,39.8172299,5,Mid-Range
Emaar Dewan Al Sud,371.0,3.7,9.0,"Lat: 21.410600000000002, Lng: 39.82763",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4106,39.82763,5,Mid-Range
ميسان الملتقى,371.0,3.7,62.0,"Lat: 21.4043253, Lng: 39.8167575",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4043253,39.8167575,5,Mid-Range
فندق اراك الشريعة مكة ARAK AL-SHARIA HOTEL,410.0,4.5,115.0,"Lat: 21.4046111, Lng: 39.8304167",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4046111,39.8304167,5,Mid-Range
فندق برج الضيافة,371.0,3.9,427.0,"Lat: 21.4107651, Lng: 39.8225507",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4107651,39.8225507,5,Mid-Range
فندق اعمار المنار,371.0,4.3,1731.0,"Lat: 21.4133755, Lng: 39.821685699999996",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4133755,39.8216857,5,Mid-Range
فندق الزائر بلازا,371.0,3.4,848.0,"Lat: 21.403618899999998, Lng: 39.8189036",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4036189,39.8189036,5,Mid-Range
Al Fajr Al Badea 1 Hotel,371.0,4.1,102.0,"Lat: 21.40662, Lng: 39.820499999999996",Makkah,2026-02-15,2026-02-20,Hotels in Al Misfalah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.40662,39.8205,5,Mid-Range
دبل ترى باي هيلتون جبل عمر مكة,1215.0,4.5,8649.0,"Lat: 21.4231692, Lng: 39.8178141",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4231692,39.8178141,5,Premium
ماريوت جبل عمر,371.0,4.3,9564.0,"Lat: 21.4232245, Lng: 39.819054099999995",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4232245,39.8190541,5,Mid-Range
كونراد جبل عمر مكة,371.0,4.7,15399.0,"Lat: 21.4193856, Lng: 39.8223985",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4193856,39.8223985,5,Mid-Range
فندق اعمار جراند,371.0,4.1,10325.0,"Lat: 21.4131301, Lng: 39.8219821",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4131301,39.8219821,5,Mid-Range
فندق إيلاف كندة,1696.0,4.4,6375.0,"Lat: 21.418849299999998, Lng: 39.8242324",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4188493,39.8242324,5,Luxury
جبل عمر حياة ريجنسي,371.0,4.4,18515.0,"Lat: 21.4208406, Lng: 39.8221037",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4208406,39.8221037,5,Mid-Range
فندق جبل عمر جميرا,2984.0,4.6,6200.0,"Lat: 21.4186785, Lng: 39.8224139",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4186785,39.8224139,5,Luxury
فندق العليان الخليل مكة,371.0,3.8,1353.0,"Lat: 21.4128075, Lng: 39.8214968",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4128075,39.8214968,5,Mid-Range
فندق أعمار الخليل,371.0,4.0,1439.0,"Lat: 21.4139408, Lng: 39.822314299999995",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4139408,39.8223143,5,Mid-Range
فندق دار التوحيد إنتركونتيننتال,371.0,4.8,35047.0,"Lat: 21.4210048, Lng: 39.822747299999996",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4210048,39.8227473,5,Mid-Range
فندق إعمار السلطان,371.0,3.9,2305.0,"Lat: 21.417296399999998, Lng: 39.8226672",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4172964,39.8226672,5,Mid-Range
Yasmin Al-Majd Hotel,371.0,3.8,559.0,"Lat: 21.413018299999997, Lng: 39.8219761",Makkah,2026-02-15,2026-02-20,Hotels in Al Shubaikah Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4130183,39.8219761,5,Mid-Range
بارك إن باي راديسون مكة النسيم,248.0,4.0,8196.0,"Lat: 21.381998199999998, Lng: 39.872478199999996",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3819982,39.8724782,5,Budget
فندق زاد القمة النسيم مكة,123.0,4.0,377.0,"Lat: 21.3889298, Lng: 39.872906199999996",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3889298,39.8729062,5,Budget
ابراج الهداية,160.0,4.0,3479.0,"Lat: 21.3895604, Lng: 39.8770743",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3895604,39.8770743,5,Budget
ميزاب تبارك,106.0,3.8,182.0,"Lat: 21.3952201, Lng: 39.8674143",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3952201,39.8674143,5,Budget
نزل وريف المقام للإيواء السياحي | Warive Al Maqam Hotel,108.0,3.7,199.0,"Lat: 21.3853558, Lng: 39.8774771",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3853558,39.8774771,5,Budget
رواء ليندي للضيافة السياحي - Rowaa Lindy Hotel,134.0,3.9,23.0,"Lat: 21.3957509, Lng: 39.8681122",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3957509,39.8681122,5,Budget
فندق ملتقي الايمان 2,112.0,3.4,93.0,"Lat: 21.3946581, Lng: 39.877752400000006",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3946581,39.877752400000006,5,Budget
فندق مساكن الجود,247.0,4.2,312.0,"Lat: 21.3689223, Lng: 39.877232299999996",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3689223,39.8772323,5,Budget
فندق ملتزم النسيم,146.0,4.0,241.0,"Lat: 21.369393799999997, Lng: 39.8749302",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3693938,39.8749302,5,Budget
فندق ملتزم البيت Home committed hotel,149.0,4.3,67.0,"Lat: 21.3745375, Lng: 39.8747031",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3745375,39.8747031,5,Budget
فندق مضياف الأفانين,194.0,4.0,115.0,"Lat: 21.3901246, Lng: 39.8774528",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3901246,39.8774528,5,Budget
فندق آرام - ARAM HOTEL,215.0,4.1,128.0,"Lat: 21.3707803, Lng: 39.8786497",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3707803,39.8786497,5,Budget
فندق أوتاد البدر عبدالله خياط,179.0,3.7,162.0,"Lat: 21.395175500000004, Lng: 39.877369",Makkah,2026-02-15,2026-02-20,Hotels in Al Naseem Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.395175500000004,39.877369,5,Budget
